timestamp,temperature,pressure,vibration,machine_speed,production_rate,quality_status,defect
2024-01-01 08:00:00,117.79,6.54,4.05,1244.6,37.36,Critical,1
2024-01-01 08:05:00,88.53,5.39,0.59,992.2,45.3,Normal,0
2024-01-01 08:10:00,79.37,5.01,0.53,969.9,51.5,Normal,0
2024-01-01 08:15:00,85.9,4.72,1.09,1030.9,45.06,Normal,0
2024-01-01 08:20:00,91.12,5.2,0.84,965.5,54.57,Normal,0
2024-01-01 08:25:00,81.73,4.59,0.6,1034.7,51.04,Normal,0
2024-01-01 08:30:00,91.14,5.23,1.04,1047.3,48.79,Normal,0
2024-01-01 08:35:00,86.04,5.33,1.12,1036.2,50.77,Normal,0
2024-01-01 08:40:00,89.09,4.55,0.73,978.9,45.8,Normal,0
2024-01-01 08:45:00,79.66,4.6,0.78,1013.6,48.65,Normal,0
2024-01-01 08:50:00,82.4,4.71,0.77,1043.7,51.48,Normal,0
2024-01-01 08:55:00,87.18,4.67,1.23,966.3,48.79,Normal,0
2024-01-01 09:00:00,94.79,5.14,1.06,1018.5,53.43,Normal,0
2024-01-01 09:05:00,90.52,4.73,0.53,981.5,47.68,Normal,0
2024-01-01 09:10:00,79.22,5.44,1.38,981.5,51.55,Normal,0
2024-01-01 09:15:00,82.91,5.41,0.96,976.5,47.47,Normal,0
2024-01-01 09:20:00,86.23,4.76,1.08,1039.8,48.99,Normal,0
2024-01-01 09:25:00,79.39,5.5,1.01,959.1,45.47,Normal,0
2024-01-01 09:30:00,77.19,5.13,1.29,992.2,45.64,Normal,0
2024-01-01 09:35:00,82.63,5.5,1.03,1047.1,53.61,Normal,0
2024-01-01 09:40:00,75.23,5.22,1.18,1003.7,47.67,Normal,0
2024-01-01 09:45:00,87.82,4.61,0.93,995.4,54.54,Normal,0
2024-01-01 09:50:00,104.01,5.84,2.75,1085.0,43.65,Warning,0
2024-01-01 09:55:00,80.97,5.14,1.11,965.3,52.63,Normal,0
2024-01-01 10:00:00,85.79,5.28,1.03,950.1,48.24,Normal,0
2024-01-01 10:05:00,75.39,5.43,1.38,1033.2,48.08,Normal,0
2024-01-01 10:10:00,76.16,5.38,1.45,958.6,49.86,Normal,0
2024-01-01 10:15:00,76.38,5.26,1.27,962.8,49.75,Normal,0
2024-01-01 10:20:00,86.0,4.77,1.37,992.3,47.12,Normal,0
2024-01-01 10:25:00,85.79,5.23,0.7,981.2,54.95,Normal,0
2024-01-01 10:30:00,88.0,4.94,1.02,962.1,47.25,Normal,0
2024-01-01 10:35:00,81.76,5.09,0.73,972.0,45.71,Normal,0
2024-01-01 10:40:00,87.62,4.73,1.41,1036.0,45.71,Normal,0
2024-01-01 10:45:00,79.76,5.17,0.71,963.2,54.36,Normal,0
2024-01-01 10:50:00,86.42,4.97,1.28,1030.7,46.9,Normal,0
2024-01-01 10:55:00,76.94,4.93,0.92,996.7,52.29,Normal,0
2024-01-01 11:00:00,88.47,5.48,0.6,990.3,48.39,Normal,0
2024-01-01 11:05:00,103.89,5.82,2.29,1122.8,41.69,Warning,1
2024-01-01 11:10:00,80.0,5.42,0.94,1036.1,50.5,Normal,0
2024-01-01 11:15:00,76.01,5.5,1.34,1046.9,54.26,Normal,0
2024-01-01 11:20:00,91.97,4.67,0.99,971.4,49.01,Normal,0
2024-01-01 11:25:00,76.17,4.88,1.49,976.5,52.84,Normal,0
2024-01-01 11:30:00,84.1,4.92,1.46,1049.5,50.56,Normal,0
2024-01-01 11:35:00,89.37,4.65,0.8,1046.9,50.79,Normal,0
2024-01-01 11:40:00,115.84,7.62,3.61,1316.8,35.03,Critical,1
2024-01-01 11:45:00,92.05,4.66,1.46,958.0,46.86,Normal,0
2024-01-01 11:50:00,86.9,5.18,0.74,962.0,53.9,Normal,0
2024-01-01 11:55:00,79.92,5.09,1.12,991.9,50.84,Normal,0
2024-01-01 12:00:00,85.46,5.43,0.7,1021.6,47.39,Normal,0
2024-01-01 12:05:00,82.92,5.17,0.8,981.6,52.52,Normal,0
2024-01-01 12:10:00,76.45,4.96,1.5,1049.6,45.73,Normal,0
2024-01-01 12:15:00,79.26,4.77,1.43,1038.1,53.79,Normal,0
2024-01-01 12:20:00,82.39,4.66,1.33,1020.4,51.12,Normal,0
2024-01-01 12:25:00,94.74,5.15,0.51,1031.7,47.99,Normal,0
2024-01-01 12:30:00,88.27,5.44,0.63,961.5,46.07,Normal,0
2024-01-01 12:35:00,86.06,4.77,1.1,1021.8,47.04,Normal,0
2024-01-01 12:40:00,87.68,4.76,0.99,1040.5,53.46,Normal,0
2024-01-01 12:45:00,76.85,4.92,0.78,950.4,52.71,Normal,0
2024-01-01 12:50:00,87.74,4.76,1.24,1005.2,49.28,Normal,0
2024-01-01 12:55:00,75.19,4.58,1.38,1040.4,50.46,Normal,0
2024-01-01 13:00:00,91.69,5.08,0.65,962.7,48.08,Normal,0
2024-01-01 13:05:00,92.98,5.3,1.36,1039.9,47.1,Normal,0
2024-01-01 13:10:00,79.99,4.6,1.28,1038.4,49.06,Normal,0
2024-01-01 13:15:00,87.41,4.65,1.43,1036.5,54.76,Normal,0
2024-01-01 13:20:00,91.22,5.38,0.52,1023.7,48.32,Normal,0
2024-01-01 13:25:00,93.62,5.3,1.36,1031.1,47.67,Normal,0
2024-01-01 13:30:00,103.3,5.7,3.31,1180.2,40.89,Warning,0
2024-01-01 13:35:00,84.21,4.81,1.3,972.8,45.24,Normal,0
2024-01-01 13:40:00,78.86,4.83,1.36,1046.7,47.79,Normal,0
2024-01-01 13:45:00,87.83,4.9,1.48,1003.6,54.39,Normal,0
2024-01-01 13:50:00,77.31,5.47,0.68,1046.3,47.65,Normal,0
2024-01-01 13:55:00,77.17,4.93,1.23,981.4,51.06,Normal,0
2024-01-01 14:00:00,85.23,4.89,1.08,975.5,52.09,Normal,0
2024-01-01 14:05:00,75.03,5.43,1.04,1021.9,52.42,Normal,0
2024-01-01 14:10:00,102.37,5.93,2.1,1153.0,41.32,Warning,1
2024-01-01 14:15:00,91.96,5.22,0.8,980.9,49.08,Normal,0
2024-01-01 14:20:00,83.05,4.8,0.63,992.0,54.4,Normal,0
2024-01-01 14:25:00,88.55,5.4,1.12,980.1,50.48,Normal,0
2024-01-01 14:30:00,75.01,4.79,0.93,1008.0,51.55,Normal,0
2024-01-01 14:35:00,84.3,4.94,0.71,997.3,54.01,Normal,0
2024-01-01 14:40:00,90.92,4.67,0.58,1001.5,51.33,Normal,0
2024-01-01 14:45:00,81.7,5.32,1.25,1017.3,47.25,Normal,0
2024-01-01 14:50:00,78.98,4.52,0.74,997.5,53.5,Normal,0
2024-01-01 14:55:00,76.46,4.91,1.13,969.4,51.96,Normal,0
2024-01-01 15:00:00,84.89,4.74,1.16,950.6,52.51,Normal,0
2024-01-01 15:05:00,90.4,4.61,0.93,967.6,54.58,Normal,0
2024-01-01 15:10:00,85.36,4.55,0.75,1034.8,49.56,Normal,0
2024-01-01 15:15:00,91.03,5.17,1.49,1009.5,54.5,Normal,0
2024-01-01 15:20:00,122.83,7.42,4.94,1301.0,38.31,Critical,1
2024-01-01 15:25:00,85.96,5.4,1.24,997.5,47.59,Normal,0
2024-01-01 15:30:00,79.94,5.14,1.27,1002.1,51.27,Normal,0
2024-01-01 15:35:00,80.49,4.58,0.79,977.2,48.2,Normal,0
2024-01-01 15:40:00,85.8,4.64,0.73,1019.4,52.06,Normal,0
2024-01-01 15:45:00,76.28,4.91,1.04,991.6,47.07,Normal,0
